Selling Date,Selling Price,Selling Price 2020 (due to inflation),Listing Price,Listing Date,Days on Market,ZIP,Street Full Address,Subdivision Display,Zoning,Bedrooms,Bathrooms,ApproxTotal Sq Ft,Year Built,Garage,Price_Per_SqFt
3/16/2018,"$149,000 ","$156,016 ","$152,500 ",12/27/2017,79,68502,"3241 E Summit Blvd, Lincoln, NE 68502",,R1,3,1,1242,1952,1,$119.97 
2/28/2018,"$150,000 ","$157,064 ","$165,000 ",12/26/2017,64,68506,"5221 Melrose, Lincoln, NE 68506",,R1,2,1.75,1120,1976,2,$133.93 
1/5/2018,"$132,000 ","$138,216 ","$127,000 ",12/21/2017,15,68506,"1720 Crestline Dr, Lincoln, NE 68506",,R1,3,1.75,1170,1956,1,$112.82 
3/1/2018,"$165,000 ","$172,770 ","$170,000 ",12/19/2017,72,68502,"2539 Woods Blvd, Lincoln, NE 68502",,R1,3,1.25,1622,1958,1,$101.73 
1/18/2018,"$87,000 ","$91,097 ","$87,000 ",12/15/2017,34,68506,"3264 Normal Blvd, Lincoln, NE 68506",,R1,2,1.75,847,1950,0,$102.72 
1/26/2018,"$124,900 ","$130,782 ","$124,900 ",12/15/2017,42,68507,"3025 N 60th St, Lincoln, NE 68507",,R1,3,1,1428,1953,1,$87.47 
3/2/2018,"$105,600 ","$110,573 ","$104,900 ",12/14/2017,78,68524,"3600 NW Michael, Lincoln, NE 68524",,R1,3,1,1201,1955,1,$87.27 
1/26/2018,"$162,000 ","$169,629 ","$160,000 ",12/13/2017,44,68512,"4806 Tipperary Trl, Lincoln, NE 68512",,R1,3,1.75,840,1971,1,$192.86 
1/29/2018,"$128,000 ","$134,028 ","$128,000 ",12/13/2017,47,68521,"3510 N Miller Rd, Lincoln, NE 68521-2763",,R1,1,2,792,1985,1,$161.62 
3/22/2018,"$83,500 ","$87,432 ","$97,500 ",12/12/2017,100,68510,"4320 E, Lincoln, NE 68510",,R1,2,1,672,1952,0,$124.26 
2/27/2018,"$144,900 ","$151,723 ","$144,900 ",12/8/2017,81,68510,"7315 Englewood Dr, Lincoln, NE 68510",,R1,3,1.5,980,1963,1,$147.86 
2/1/2018,"$115,000 ","$120,415 ","$115,000 ",12/7/2017,56,68506,"2829 S 34th St, Lincoln, NE 68506",,R1,2,1,1134,1952,1,$101.41 
1/10/2018,"$150,500 ","$157,587 ","$149,900 ",12/5/2017,36,68504,"3400 N 53rd St, Lincoln, NE 68504",,R1,3,1.75,775,1955,1,$194.19 
1/5/2018,"$115,000 ","$120,415 ","$110,000 ",12/4/2017,32,68505,"7049 Dudley St, Lincoln, NE 68505",,R1,2,1.75,792,1961,1,$145.20 
2/2/2018,"$147,355 ","$154,294 ","$159,500 ",12/1/2017,63,68505,"600 Trail Ridge Rd, Lincoln, NE 68505",,R1,3,1.5,1412,1963,2,$104.36 
12/29/2017,"$165,000 ","$177,754 ","$164,900 ",11/28/2017,31,68506,"2717 Anderson Dr, Lincoln, NE 68506",,R1,3,2,1370,1958,1,$120.44 
1/3/2018,"$145,000 ","$151,828 ","$149,950 ",11/28/2017,36,68512,"5809 Berkeley Dr #7, Lincoln, NE 68512",,R1,2,2.25,1196,1982,1,$121.24 
3/9/2018,"$130,000 ","$136,122 ","$130,000 ",11/27/2017,102,68521,"167 Laramie Trl, Lincoln, NE 68521",,R1,2,1.5,816,1979,1,$159.31 
1/4/2018,"$133,000 ","$139,263 ","$131,700 ",11/21/2017,44,68521,"4521 Lewis Ave, Lincoln, NE 68521",,R1,3,1.75,948,1973,0,$140.30 
1/19/2018,"$91,000 ","$95,285 ","$93,000 ",11/20/2017,60,68502,"1301 S 7th St, Lincoln, NE 68502",,R1,2,1.5,869,1900,1,$104.72 
3/1/2018,"$83,000 ","$86,909 ","$89,900 ",11/20/2017,101,68504,"1000 N 52, Lincoln, NE 68504",,R1,2,1,720,1959,1,$115.28 
3/5/2018,"$152,500 ","$159,681 ","$159,900 ",11/20/2017,105,68521,"409 W Belmont Ave, Lincoln, NE 68521",,R1,4,2.5,1092,2006,2,$139.65 
3/1/2018,"$130,000 ","$136,122 ","$131,900 ",11/17/2017,104,68502,"2727 Sumner St, Lincoln, NE 68502",,R1,3,2,1185,1925,0,$109.70 
3/2/2018,"$158,000 ","$165,440 ","$164,000 ",11/16/2017,106,68516,"4402 Waterbury Ln, Lincoln, NE 68516",,R1,2,2,1612,1977,2,$98.01 
1/5/2018,"$153,000 ","$160,205 ","$153,000 ",11/15/2017,51,68510,"3851 D St, Lincoln, NE 68510",,R1,3,1.5,916,1947,1,$167.03 
12/14/2017,"$135,000 ","$145,435 ","$129,900 ",11/12/2017,32,68521,"3446 N Miller Rd, Lincoln, NE 68521",,R1,2,1.75,876,1985,1,$154.11 
2/2/2018,"$153,000 ","$160,205 ","$150,000 ",11/12/2017,82,68510,"601 Eldon Dr, Lincoln, NE 68510",,R1,3,1.5,1092,1953,1.5,$140.11 
11/29/2017,"$110,000 ","$118,503 ","$114,900 ",11/11/2017,18,68510,"800 S 32nd St, Lincoln, NE 68510",,R1,3,1.75,1774,1940,2,$62.01 
12/11/2017,"$143,900 ","$155,023 ","$143,900 ",11/11/2017,30,68510,"3942 Washington, Lincoln, NE 68510",,R1,2,1,978,1900,1,$147.14 
1/16/2018,"$165,000 ","$172,770 ","$165,000 ",11/9/2017,68,68521,"220 Groveland St, Lincoln, NE 68521",,R1,2,3,1134,1992,2,$145.50 
