PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARYMILL,PAGEVIEWS,FAVORITE,RETWEET
D'Angelo Russell,PG,20,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,2.3,3,0.782,0.5,3,4.8,1.4,0.3,2.8,2.1,15.6,LAL,63,28.7,21,5.33,1327,0,232
Tristan Thompson,C,25,29.9,3.4,5.6,0.6,0,0,0,3.4,5.6,0.604,1.4,2.7,0.498,3.7,5.5,1,0.5,1.1,0.8,2.3,8.1,CLE,78,29.9,50,15.33,1365.5,368,211
Jordan Clarkson,SG,24,29.2,5.8,13.1,0.445,1.4,4.3,0.329,4.4,8.7,0.503,1.6,2,0.798,0.6,2.4,2.6,1.1,0.1,2,1.8,14.7,LAL,82,29.2,26,12.5,1386.5,55.5,179.5
Andrew Bogut,C,32,21.6,1.4,3,0.469,0,0,0,1.4,3,0.475,0.1,0.4,0.273,2.1,6,1.8,0.5,0.9,1.6,3.2,2.9,CLE/DAL,27,21.6,8,0.24,1435.5,57,4
Paul George,SF,26,35.9,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,4.5,5,0.898,0.8,5.8,3.3,1.6,0.4,2.9,2.7,23.7,IND,75,35.9,39,18.31,1600,228.5,128
DeMarcus Cousins,C,26,34.2,9,19.9,0.452,1.8,5,0.361,7.2,14.8,0.483,7.2,9.3,0.772,2.1,8.9,4.6,1.4,1.3,3.7,3.9,27,NO/SAC,72,34.2,30,16.96,1625.5,102,91.5
Paul Pierce,SF,39,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.4,0.5,0.769,0,1.9,0.4,0.2,0.2,0.6,1.6,3.2,LAC,25,11.1,16,3.53,1671,346.5,142
Andre Iguodala,SF,33,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2,3.1,0.651,0.9,1.3,0.706,0.7,3.3,3.4,1,0.5,0.8,1.3,7.6,GS,76,26.3,64,11.13,1748.5,300.5,43
Rajon Rondo,PG,30,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.4,0.7,0.6,1.1,4.1,6.7,1.4,0.2,2.4,2.1,7.8,CHI,69,26.7,34,14,1765,185.5,74
Andrew Wiggins,SF,21,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,5,6.6,0.76,1.2,2.8,2.3,1,0.4,2.3,2.2,23.6,MIN,82,37.2,31,6.01,1778.5,182,54.5
